Typelist,TableName,Code,Name,Description,Priority
"AlarmClass","pctl_alarmclass","ExistsVdsClassC_De","Exists (VdS class C)","Eine VdS-anerkannte Einbruchmeldeanlage der Klasse C ist vorhanden","50"
"AlarmClass","pctl_alarmclass","Agreed_De","Agreed (minimum VdS class B)","Eine VdS-anerkannte Einbruchmeldeanlage (mind. Klasse B) wird innerhalb von 3 Monaten nach Antragstellung installiert","60"
"AlarmClass","pctl_alarmclass","A","A","A","1"
"AlarmClass","pctl_alarmclass","B","B","B","2"
"AlarmClass","pctl_alarmclass","C","C","C","3"
"AlarmClass","pctl_alarmclass","NotULAlarm","Not UL Alarm","Not UL Alarm","4"
"AlarmDescription","pctl_alarmdescription","LMK"," Limited mercantile with guard responses and keys","Begrenzter Handel mit Bewachungsreaktionen und Schlüssel","-1"
"AlarmDescription","pctl_alarmdescription","LIM","Limited mercantile with no guard response","Begrenzter Handel ohne Bewachungsreaktionen","-1"
"AlarmDescription","pctl_alarmdescription","None","No installation","Keine Installation","-1"
"AlarmDescription","pctl_alarmdescription","LOC","Local","Lokal","-1"
"AlarmDescription","pctl_alarmdescription","BOT","Local and central","Lokal und zentral","-1"
"AlarmDescription","pctl_alarmdescription","LOK","Local gong with keys","Lokaler Gong mit Schlüssel","-1"
"AlarmDescription","pctl_alarmdescription","LO","Local gong without keys","Lokaler Gong ohne Schlüssel","-1"
"AlarmDescription","pctl_alarmdescription","POL","Police connect","Verbindung mit der Polizei","-1"
"AlarmDescription","pctl_alarmdescription","CE","Central station","Zentralstation","-1"
"AlarmDescription","pctl_alarmdescription","CEK","Central station with keys","Zentralstation mit Schlüsseln","-1"
"AlarmDescription","pctl_alarmdescription","CEN","Central station without keys","Zentralstation ohne Schlüsseln","-1"
"AlarmGrade","pctl_alarmgrade","NotULAlarm","Not UL Alarm","Nicht UL-Alarm","0"
"AlarmGrade","pctl_alarmgrade","Premises1","Premises 1","Betriebsgelände 1","1"
"AlarmGrade","pctl_alarmgrade","Premises2","Premises 2","Betriebsgelände 2","2"
"AlarmGrade","pctl_alarmgrade","Premises3","Premises 3","Betriebsgelände 3","3"
"AlarmGrade","pctl_alarmgrade","HoldupPanic","Holdup/panic","Überfall/Panik","4"
"AnimalCategory_De","pctl_animalcategory_de","dog","Dog","Hund","10"
"AnimalCategory_De","pctl_animalcategory_de","HorseDraftMount","Horse / Draft and mount","Pferd / Zug- und Reittier","20"
"AntiTheft","pctl_antitheft","anti1","Anti-theft I","Diebstahlsicherung I","-1"
"AntiTheft","pctl_antitheft","anti2","Anti-theft II","Diebstahlsicherung II","-1"
"AntiTheft","pctl_antitheft","anti3","Anti-theft III","Diebstahlsicherung III","-1"
"AntiTheftType","pctl_antithefttype","none","None","Keine","10"
"AntiTheftType","pctl_antithefttype","alarmonly","Alarm only","Nur Alarm","20"
"AntiTheftType","pctl_antithefttype","disable","Disabling device","Gerät wird deaktiviert","30"
"AntiTheftType","pctl_antithefttype","gpslocator","GPS locating device","GPS-Ortungseinrichtung","40"
"ApartmentOccupation_DE","pctl_apartmentoccupation_de","tbd","tbd","","-1"
"ApprovalStatus","pctl_approvalstatus","rejected","Rejected","Die Entität wurde abgelehnt.","-1"
"ApprovalStatus","pctl_approvalstatus","approved","Approved","Die Entität wurde genehmigt.","-1"
"ApprovalStatus","pctl_approvalstatus","unapproved","Unapproved","Genehmigung ausstehend","-1"
"ArbitrationType","pctl_arbitrationtype","binding","binding","Verbindlich","1"
"ArbitrationType","pctl_arbitrationtype","nonbinding","nonbinding","Unverbindlich","2"
"ArchiveFinalStatus","pctl_archivefinalstatus","failedcommit","Failed Commit","Die Zusage zur Speicherung bzw. Abrufs konnte nicht zugesagt werden.","1"
"ArchiveFinalStatus","pctl_archivefinalstatus","succeeded","Succeeded","Speicherung bzw. Abruf erfolgreich abgeschlossen.","1"
"ArchiveFinalStatus","pctl_archivefinalstatus","failedimport","Failed Import","Der Abruf konnte nicht importieren","1"
"ArchiveFinalStatus","pctl_archivefinalstatus","failedstore","Failed Store","Speicherung hat fehlgeschlagen.","1"
"ArchiveFinalStatus","pctl_archivefinalstatus","failedupgrade","Failed Upgraded","Upgrade fehlgeschlagen.","1"
"ArchiveFinalStatus","pctl_archivefinalstatus","upgradewarnings","Upgraded with Warnings","Abruf wurde mit Warnungen aktualisiert.","1"
"ArchiveFinalStatus","pctl_archivefinalstatus","failedprestore","Failed Prestore","Nach dem Vorbereitungsaufruf und vor der Speicherungsaufruf ist ein Fehler aufgetreten.","1"
"ArchiveMethod","pctl_archivemethod","Purge","Purge","Die Entität wird dauerhaft und unwiederbringlich aus dem System gelöscht.","-1"
"ArchiveMethod","pctl_archivemethod","Standard","Standard","Die Entität wird an das Standardarchiv gesendet.","-1"
"ArchiveSourceStatus","pctl_archivesourcestatus","manually","Manually Flagged","Der Dienst wurde manuell als nicht verfügbar markiert.","1"
"ArchiveSourceStatus","pctl_archivesourcestatus","notenabled","Not Enabled","Archivierung wurde nicht aktiviert","1"
"ArchiveSourceStatus","pctl_archivesourcestatus","notstarted","Not Started","Archivierung wurde noch nicht gestartet","1"
"ArchiveSourceStatus","pctl_archivesourcestatus","notconfig","Not Configured","Der Dienst wurde nicht konfiguriert.","1"
"ArchiveSourceStatus","pctl_archivesourcestatus","available","Available","Der Dienst steht zur Verfügung.","1"
"ArchiveSourceStatus","pctl_archivesourcestatus","failure","Failure","Der letzte Archivierungsversuch hat fehlgeschlagen.","1"
"ArchiveSourceStatus","pctl_archivesourcestatus","queue","Queue Available","Der Dienst ist nicht verfügbar, erlaubt es aber, die Benutzeranfrage in die Wartschlange zu stellen.","1"
"ArchiveState","pctl_archivestate","retrieving","Retrieving","Der Graph ist zum Abrufen gekennzeichnet","-1"
"ArchiveState","pctl_archivestate","archived","Archived","Der Graph wurde archiviert","-1"
"AreaLeased","pctl_arealeased","100","100%","100%","0"
"AreaLeased","pctl_arealeased","90","90%","90%","1"
"AreaLeased","pctl_arealeased","80","80%","80%","2"
"AreaLeased","pctl_arealeased","70","70%","70%","3"
"AreaLeased","pctl_arealeased","60","60%","60%","4"
"AreaLeased","pctl_arealeased","50","50%","50%","5"
"AreaLeased","pctl_arealeased","40","40%","40%","6"
"AreaLeased","pctl_arealeased","30","30%","30%","7"
"AreaLeased","pctl_arealeased","20","20%","20%","8"
"AreaLeased","pctl_arealeased","10","10%","10 %","9"
"AreaLeased","pctl_arealeased","0","N/A","k. A.","-1"
"AreaOfValidity_De","pctl_areaofvalidity_de","NotInsured","not insured","Nicht versichert","10"
"AreaOfValidity_De","pctl_areaofvalidity_de","InsideBuildings","inside of buildings","Innerhalb von Gebäuden","20"
"AreaOfValidity_De","pctl_areaofvalidity_de","InOutsideBuildings","inside and outside of buildings","Innerhalb und außerhalb von Gebäuden","30"
"AreaOfValidity_De","pctl_areaofvalidity_de","InInsuredLoc","inside insured location","Im Versicherungsort","40"
"AreaOfValidity_De","pctl_areaofvalidity_de","OutInsuredLoc","outside insured location","Außerhalb des Versicherungsortes","50"
"ArrangementType","pctl_arrangementtype","Treaty","Treaty","Vertrag","1"
"ArrangementType","pctl_arrangementtype","Facultative","Facultative","Fakultativ","2"
"AssignmentSearchType","pctl_assignmentsearchtype","User","User","Benutzer","1"
"AssignmentSearchType","pctl_assignmentsearchtype","Group","Group","Gruppe","2"
"AssignmentSearchType","pctl_assignmentsearchtype","Queue","Queue","Warteschlange","3"
"AssignmentSelectionType","pctl_assignmentselectiontype","FromList","FromList","Liste ""Von""","1"
"AssignmentSelectionType","pctl_assignmentselectiontype","FromSearch","FromSearch","Suche ""Von""","2"
"AssignmentStatus","pctl_assignmentstatus","manual","Manual","Die Entität wartet auf eine manuelle Aufgabe oder Überprüfung; AssignedUserID ohne Nullwert entspricht einer ausstehenden Überprüfung.","-1"
"AssignmentStatus","pctl_assignmentstatus","unassigned","Unassigned","Entität ist nicht zugewiesen; AssignedUserID und AssignedGroupID sind beides Nullwerte.","-1"
"AssignmentStatus","pctl_assignmentstatus","assigned","Assigned","Entität ist zugewiesen; AssignedUserID und AssignedGroupID sind beides keine Nullwerte.","-1"
"AssignmentStatus","pctl_assignmentstatus","pendingassignment","Pending assignment","Zuweisbares Objekt erwartet Zuweisung oder Überprüfung seiner enthaltenen Entität; AssignedUserID und AssignedGroupID sind möglicherweise null oder nicht-null.","-1"
"AttachmentBasisType","pctl_attachmentbasistype","PolicyAttachment","Policy Attachment","Ein Risiko einer Police ist mit einem Vertrag basierend auf dem Datum des Inkrafttretens der Policenperiode verknüpft. Alle Prämien und alle Verluste für die Periode werden mit der RV basierend auf dem Anfangsdatum dieser Periode verknüpft. Die gesamte Police wird an einen RV-Vertrag angehängt.","1"
"AttachmentBasisType","pctl_attachmentbasistype","LossDateEarned","Loss Date Attachment (Earned Premium)","Ein Risiko einer Police ist mit einem Vertrag verknüpft, dessen Gültigkeitszeitraum sich mit dem Vertragszeitraum überschneidet. Der Ausgleich der Verluste erfolgt ab dem Schadensdatum (oder Schadensfalldatum). Die Auszahlung zedierter Prämien erfolgt auf der Basis der in diesen Vertragszeitraum fallenden eingenommenen Prämien.","2"
"AttachmentBasisType","pctl_attachmentbasistype","LossDateWritten","Loss Date Attachment (Written Premium)","Ein Risiko einer Police ist mit einem Vertrag verknüpft, dessen Gültigkeitszeitraum sich mit dem Vertragszeitraum überschneidet. Der Ausgleich der Verluste erfolgt ab dem Schadensdatum (oder Schadensfalldatum). Die Auszahlung zedierter Prämien erfolgt auf der Basis der in diesen Vertragszeitraum fallenden gebuchten Prämien.","3"
"AttachmentBasisType","pctl_attachmentbasistype","CoveragePeriod","Coverage Period Attachment","Verluste werden bezahlt, wenn sie innerhalb des Gültigkeitszeitraums des Vertrags eintreten. Prämien werden basierend auf der Prämie (DWP) zediert, die innerhalb des Deckungszeitraums erzielt wird.","4"
